koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition
6.02930329,1.5821,1912.7,2.85,678.0,50.04,65.4,4537.0,4.648,0.672,15.784,CONFIRMED
2.696370652,3.6129,397.9,1.58,1066.0,305.34,48.2,4989.0,4.504,0.819,15.269,FALSE POSITIVE
5.349553819,3.0278,831.0,2.55,919.0,168.99,60.6,5185.0,4.44,0.91,15.416,CONFIRMED
3.94105221,2.5984,363.3,1.7,1018.0,253.15,28.9,5185.0,4.44,0.91,15.416,CONFIRMED
8.10904807,3.596,217.4,1.3,800.0,97.03,14.1,5185.0,4.44,0.91,15.416,CONFIRMED
386.6030528,6.8057,24927.0,41.5,297.0,1.84,994.0,5543.0,4.081,1.58,12.394,FALSE POSITIVE
21.67699193,3.4555,857.2,2.95,530.0,18.64,34.3,4954.0,4.5,0.828,15.377,CONFIRMED
4.99677968,2.1717,934.7,2.78,917.0,166.95,28.2,5339.0,4.552,0.847,15.861,CONFIRMED
4.280963604,2.875,750.8,2.3,1012.0,247.87,61.8,5644.0,4.564,0.831,15.356,CONFIRMED
1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,181.1,5714.0,4.563,0.831,15.525,FALSE POSITIVE
670.645531,53.412,18091.0,14.14,196.0,0.35,642.7,5520.0,4.466,0.983,15.207,FALSE POSITIVE
61.2563628,7.633,5123.3,39.87,505.0,15.43,85.3,6144.0,4.402,1.091,15.25,FALSE POSITIVE
38.3775486,5.588,724.2,2.82,529.0,18.53,34.7,5481.0,4.369,1.036,15.172,CONFIRMED
41.19725502,4.6297,2213.9,3.86,439.0,8.76,51.2,5031.0,4.485,0.848,15.841,CONFIRMED
6.252962249,2.5819,1036.9,2.65,823.0,108.3,47.1,5031.0,4.485,0.848,15.841,CONFIRMED
16.01308419,3.2554,1121.9,3.1,593.0,29.31,33.2,5015.0,4.499,0.826,15.39,CONFIRMED
32.62876672,4.7971,1804.8,3.36,506.0,15.55,80.0,5586.0,4.56,0.798,15.082,CONFIRMED
91.7732862,6.473,652.0,2.12,359.0,3.92,19.1,5586.0,4.56,0.798,15.082,CONFIRMED
4.959319244,2.22739,9802.0,12.21,1103.0,349.4,696.5,5712.0,4.359,1.082,15.263,CANDIDATE
2.701287801,3.3827,860.4,6.54,1222.0,527.81,48.3,5550.0,4.468,0.91,15.54,FALSE POSITIVE
4.49876511,3.7362,460.0,2.1,1133.0,389.62,29.5,6075.0,4.486,0.969,15.395,CONFIRMED
19.651209505,5.2514,11766.0,12.42,730.0,67.03,513.4,6074.0,4.391,1.063,15.536,FALSE POSITIVE
5.412203927,2.9472,601.6,2.94,1093.0,337.68,166.7,5779.0,4.339,1.087,12.791,CONFIRMED
41.43958662,10.5989,2793.1,5.5,516.0,16.72,141.1,5468.0,4.367,1.046,15.4,CONFIRMED
8.35389523,2.2514,1041.6,2.52,790.0,91.9,43.4,5592.0,4.582,0.787,15.317,CONFIRMED
4.125543472,3.1744,1487.3,4.43,1243.0,565.35,128.6,6174.0,4.417,1.103,15.506,CONFIRMED
2.816504904,2.50587,16814.0,12.21,1219.0,521.13,1406.8,5532.0,4.452,0.955,15.052,CONFIRMED
33.93373447,14.561,8503.7,7.34,430.0,8.11,236.1,5040.0,4.628,0.705,15.716,FALSE POSITIVE
3.689920099,2.6557,426.7,1.89,1147.0,408.99,35.6,5880.0,4.518,0.917,15.242,CONFIRMED
4.431238488,3.15,1010.9,3.25,1104.0,351.23,71.1,5714.0,4.428,1.015,15.367,CONFIRMED
11.37936986,2.6255,1023.5,3.95,806.0,99.68,37.9,5714.0,4.428,1.015,15.367,CONFIRMED
26.39432897,3.573,1510.9,3.07,489.0,13.49,48.2,5129.0,4.595,0.763,15.234,CONFIRMED
